[2016-04-25T10:11:04+03:00] INFO: Forking chef instance to converge...
[2016-04-25T10:11:04+03:00] INFO: *** Chef 12.9.38 ***
[2016-04-25T10:11:04+03:00] INFO: Platform: x86_64-linux
[2016-04-25T10:11:04+03:00] INFO: Chef-client pid: 3703
[2016-04-25T10:11:16+03:00] INFO: Storing updated cookbooks/exit_task/files/default/jenkins/plugins/external-monitor-job/META-INF/maven/org.jenkins-ci.plugins/external-monitor-job/pom.properties in the cache.
[2016-04-25T10:11:16+03:00] INFO: Storing updated cookbooks/exit_task/files/default/jenkins/plugins/ssh-credentials/WEB-INF/lib/classes.jar in the cache.
[2016-04-25T10:11:16+03:00] INFO: Storing updated cookbooks/exit_task/files/default/jenkins/plugins/external-monitor-job/.timestamp2 in the cache.
[2016-04-25T10:11:16+03:00] INFO: Storing updated cookbooks/exit_task/files/default/jenkins/plugins/junit.jpi.pinned in the cache.
[2016-04-25T10:11:16+03:00] INFO: Storing updated cookbooks/exit_task/files/default/jenkins/plugins/external-monitor-job/WEB-INF/lib/classes.jar in the cache.
[2016-04-25T10:11:16+03:00] INFO: Storing updated cookbooks/exit_task/files/default/jenkins/plugins/pam-auth/META-INF/MANIFEST.MF in the cache.
[2016-04-25T10:11:16+03:00] INFO: Storing updated cookbooks/exit_task/files/default/jenkins/plugins/maven-plugin.jpi in the cache.
[2016-04-25T10:11:17+03:00] INFO: Storing updated cookbooks/exit_task/files/default/jenkins/plugins/pam-auth/META-INF/maven/org.jenkins-ci.plugins/pam-auth/pom.properties in the cache.
[2016-04-25T10:11:17+03:00] INFO: Storing updated cookbooks/exit_task/files/default/jenkins/plugins/pam-auth/META-INF/maven/org.jenkins-ci.plugins/pam-auth/pom.xml in the cache.
[2016-04-25T10:11:17+03:00] INFO: Storing updated cookbooks/exit_task/files/default/jenkins/plugins/pam-auth/WEB-INF/licenses.xml in the cache.
[2016-04-25T10:11:17+03:00] INFO: Storing updated cookbooks/exit_task/files/default/jenkins/plugins/ldap.jpi in the cache.
[2016-04-25T10:11:17+03:00] INFO: Storing updated cookbooks/exit_task/files/default/jenkins/plugins/pam-auth/WEB-INF/lib/pam-auth.jar in the cache.
